#time	up	down	total
0	37	0	37
1	0	0	37
2	0	0	37
3	0	0	37
4	0	0	37
5	0	0	37
6	0	0	37
7	0	0	37
8	0	0	37
9	0	0	37
10	0	0	37
11	0	0	37
12	0	0	37
13	0	0	37
14	0	0	37
15	0	0	37
16	0	0	37
17	0	0	37
18	0	0	37
19	0	0	37
20	0	0	37
21	0	0	37
22	0	0	37
23	0	0	37
24	0	0	37
25	0	0	37
26	0	0	37
27	0	0	37
28	0	0	37
29	0	0	37
30	0	0	37
31	0	0	37
32	0	0	37
33	0	0	37
34	0	0	37
35	0	0	37
36	0	0	37
37	0	0	37
38	0	0	37
39	0	0	37
40	0	0	37
41	0	0	37
42	0	0	37
43	0	0	37
44	0	0	37
45	0	0	37
46	0	0	37
47	0	0	37
48	0	0	37
49	0	0	37
50	0	0	37
51	0	0	37
52	0	0	37
53	0	0	37
54	0	0	37
55	0	0	37
56	0	0	37
57	0	0	37
58	0	0	37
59	0	0	37
60	0	0	37
61	0	0	37
62	0	0	37
63	0	0	37
64	0	0	37
65	0	0	37
66	0	0	37
67	0	0	37
68	0	0	37
69	0	0	37
70	0	0	37
71	0	0	37
72	0	0	37
73	0	0	37
74	0	0	37
75	0	0	37
76	0	0	37
77	0	0	37
78	0	0	37
79	0	0	37
80	0	0	37
81	0	0	37
82	0	0	37
83	0	0	37
84	0	0	37
85	0	0	37
86	0	0	37
87	0	0	37
88	0	0	37
89	0	0	37
90	0	0	37
91	0	0	37
92	0	0	37
93	0	0	37
94	0	0	37
95	0	0	37
96	0	0	37
97	0	0	37
98	0	0	37
99	0	0	37
100	0	0	37
101	0	0	37
102	0	0	37
103	0	0	37
104	0	0	37
105	0	0	37
106	0	0	37
107	0	0	37
108	0	0	37
109	0	0	37
110	0	0	37
111	0	0	37
112	0	0	37
113	0	0	37
114	0	0	37
115	0	0	37
116	0	0	37
117	0	0	37
118	0	0	37
119	0	0	37
120	0	0	37
121	0	0	37
122	0	0	37
123	0	0	37
124	0	0	37
125	0	0	37
126	0	0	37
127	0	0	37
128	0	0	37
129	0	0	37
130	0	0	37
131	0	0	37
132	0	0	37
133	0	0	37
134	0	0	37
135	0	0	37
136	0	0	37
137	0	0	37
138	0	0	37
139	0	0	37
140	0	0	37
141	0	0	37
142	0	0	37
143	0	0	37
144	0	0	37
145	0	0	37
146	0	0	37
147	0	0	37
148	0	0	37
149	0	0	37
150	0	0	37
151	0	0	37
152	0	0	37
153	0	0	37
154	0	0	37
155	0	0	37
156	0	0	37
157	0	0	37
158	0	0	37
159	0	0	37
160	0	0	37
161	0	0	37
162	0	0	37
163	0	0	37
164	0	0	37
165	0	0	37
166	0	0	37
167	0	0	37
168	0	0	37
169	0	0	37
170	0	0	37
171	0	0	37
172	0	0	37
173	0	0	37
174	0	0	37
175	0	0	37
176	0	0	37
177	0	0	37
178	0	0	37
179	0	0	37
180	0	0	37
181	0	0	37
182	0	0	37
183	0	0	37
184	0	0	37
185	0	0	37
186	0	0	37
187	0	0	37
188	0	0	37
189	0	0	37
190	0	0	37
191	0	0	37
192	0	0	37
193	0	0	37
194	0	0	37
195	0	0	37
196	0	0	37
197	0	0	37
198	0	0	37
199	0	0	37
200	0	0	37
201	0	0	37
202	0	0	37
203	0	0	37
204	0	0	37
205	0	0	37
206	0	0	37
207	0	0	37
208	0	0	37
209	0	0	37
210	0	0	37
211	0	0	37
212	0	0	37
213	0	0	37
214	0	0	37
215	0	0	37
216	0	0	37
217	0	0	37
218	0	0	37
219	0	0	37
220	0	0	37
221	0	0	37
222	0	0	37
223	0	0	37
224	0	0	37
225	0	0	37
226	0	0	37
227	0	0	37
228	0	0	37
229	0	0	37
230	0	0	37
231	0	0	37
232	0	0	37
233	0	0	37
234	0	0	37
235	0	0	37
236	0	0	37
237	0	0	37
238	0	0	37
239	0	0	37
240	0	0	37
241	0	0	37
242	0	0	37
243	0	0	37
244	0	0	37
245	0	0	37
246	0	0	37
247	0	0	37
248	0	0	37
249	0	0	37
250	0	0	37
251	0	0	37
252	0	0	37
253	0	0	37
254	0	0	37
255	0	0	37
256	0	0	37
257	0	0	37
258	0	0	37
259	0	0	37
260	0	0	37
261	0	0	37
262	0	0	37
263	0	0	37
264	0	0	37
265	0	0	37
266	0	0	37
267	0	0	37
268	0	0	37
269	0	0	37
270	0	0	37
271	0	0	37
272	0	0	37
273	0	0	37
274	0	0	37
275	0	0	37
276	0	0	37
277	0	0	37
278	0	0	37
279	0	0	37
280	0	0	37
281	0	0	37
282	0	0	37
283	0	0	37
284	0	0	37
285	0	0	37
286	0	0	37
287	0	0	37
288	0	0	37
289	0	0	37
290	0	0	37
291	0	0	37
292	0	0	37
293	0	0	37
294	0	0	37
295	0	0	37
296	0	0	37
297	0	0	37
298	0	0	37
299	0	0	37
300	0	0	37
301	0	0	37
302	0	0	37
303	0	0	37
304	0	0	37
305	0	0	37
306	0	0	37
307	0	0	37
308	0	0	37
309	0	0	37
310	0	0	37
311	0	0	37
312	0	0	37
313	0	0	37
314	0	0	37
315	0	0	37
316	0	0	37
317	0	0	37
318	0	0	37
319	0	0	37
320	0	0	37
321	0	0	37
322	0	0	37
323	0	0	37
324	0	0	37
325	0	0	37
326	0	0	37
327	0	0	37
328	0	0	37
329	0	0	37
330	0	0	37
331	0	0	37
332	0	0	37
333	0	0	37
334	0	0	37
335	0	0	37
336	0	0	37
337	0	0	37
338	0	0	37
339	0	0	37
340	0	0	37
341	0	0	37
342	0	0	37
343	0	0	37
344	0	0	37
345	0	0	37
346	0	0	37
347	0	0	37
348	0	0	37
349	0	0	37
350	0	0	37
351	0	0	37
352	0	0	37
353	0	0	37
354	0	0	37
355	0	0	37
356	0	0	37
357	0	0	37
358	0	0	37
359	0	0	37
360	0	0	37
361	0	0	37
362	0	0	37
363	0	0	37
364	0	0	37
365	0	0	37
366	0	0	37
367	0	0	37
368	0	0	37
369	0	0	37
370	0	0	37
371	0	0	37
372	0	0	37
373	0	0	37
374	0	0	37
375	0	0	37
376	0	0	37
377	0	0	37
378	0	0	37
379	0	0	37
380	0	0	37
381	0	0	37
382	0	0	37
383	0	0	37
384	0	0	37
385	0	0	37
