# Logfile created on 2016-09-08 13:56:24 +0200 by logger.rb/v1.2.7
stop:1473336431 #<Container name:borg-6251537638-1110 ID:c61a4926182e211609740af561c37f48039beceecd62a30d47dbf9065fd4d344 start:1473335838 generation_timestamps:{:nursery=>{:start=>1473335838, :stop=>1473336431}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.9692171232604374, :mean=>0.29893659853230975}, :memory=>{:max=>636719104, :mean=>631457281}}>
stop:1473336431 #<Container name:borg-6251537638-1128 ID:3d1ac233d2244c038f64705d4a80540c128b069bed8e0a69c43221b3304b8749 start:1473335844 generation_timestamps:{:nursery=>{:start=>1473335844, :stop=>1473336431}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.7035218837209303, :mean=>0.296409978571436}, :memory=>{:max=>636719104, :mean=>631959808}}>
stop:1473336456 #<Container name:borg-6251537638-1189 ID:a2f5bcf55ddf40025a5d04eb620c5d227f7a87c57bcf2b79386a44f22bcbc87e start:1473335893 generation_timestamps:{:nursery=>{:start=>1473335893, :stop=>1473336456}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.9940794027149322, :mean=>0.29751256278083144}, :memory=>{:max=>636719104, :mean=>631344842}}>
stop:1473336466 #<Container name:borg-6251537638-1578 ID:1d34a2ba01274c5e26f10c46406341240645b67263d0a30412012b88db3c2145 start:1473335870 generation_timestamps:{:nursery=>{:start=>1473335870, :stop=>1473336466}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>2.000309813068182, :mean=>0.27091517916907853}, :memory=>{:max=>636719104, :mean=>633063800}}>
stop:1473336486 #<Container name:borg-6251537638-1362 ID:adc70f0be7f1a81f43bc1292a989820b9a37896ba29416395f05f1fae3f8a642 start:1473335846 generation_timestamps:{:nursery=>{:start=>1473335846, :stop=>1473336486}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>2.014101829002079, :mean=>0.17051150085352515}, :memory=>{:max=>636719104, :mean=>631982080}}>
stop:1473336501 #<Container name:borg-6251537638-1152 ID:b3d66b4fcb27bd04a729568e5b2ce06353a5f3eecd9bb52d217ce3c55eb06d02 start:1473335855 generation_timestamps:{:nursery=>{:start=>1473335855, :stop=>1473336501}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.9842405793568465, :mean=>0.284426891001967}, :memory=>{:max=>636719104, :mean=>630675919}}>
stop:1473336533 #<Container name:borg-6251537638-1677 ID:27cb8cb53f57136bcbdf50057ac8125d91f8e3d9dfc96674e2a995c1c595a830 start:1473335877 generation_timestamps:{:nursery=>{:start=>1473335877, :stop=>1473336533}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.9980011894218943, :mean=>0.2852885415024983}, :memory=>{:max=>636719104, :mean=>628978061}}>
stop:1473336557 #<Container name:borg-6251640760-263 ID:002fc941a2466a05a0baf463795ea6fc204c0495ec2507808adcf7c80eb14dac start:1473335887 generation_timestamps:{:nursery=>{:start=>1473335887, :stop=>1473336557}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.9751130666066607, :mean=>0.28228823157915284}, :memory=>{:max=>267116544, :mean=>263952884}}>
stop:1473336567 #<Container name:borg-6251495621-97 ID:92174c227ce8a508faa372da34e95243dc760d445a8c8f386751f9fe85ef7e14 start:1473335870 generation_timestamps:{:nursery=>{:start=>1473335870, :stop=>1473336567}} generation_current:nursery cpu:0.25 mem:0.074584 metrics:{:cpu=>{:max=>1.8340116221864953, :mean=>0.3238962615361063}, :memory=>{:max=>74579968, :mean=>73778915}}>
stop:1473336572 #<Container name:borg-6251640760-1039 ID:34fdaf52dacf8e1bd06ab6ce6bb3c70119ebf7ded9d04d42e0c78ab641239875 start:1473335864 generation_timestamps:{:nursery=>{:start=>1473335864, :stop=>1473336572}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.7744186107171, :mean=>0.2646568216400137}, :memory=>{:max=>267116544, :mean=>265751493}}>
stop:1473336591 #<Container name:borg-6251640760-1020 ID:da55ce5d65ceee65c36e58cbe7957765bc4969e153283275aaf3b0b74cc01522 start:1473335865 generation_timestamps:{:nursery=>{:start=>1473335865, :stop=>1473336591}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.3880974452644526, :mean=>0.3017769562105326}, :memory=>{:max=>267116544, :mean=>265895027}}>
