# Logfile created on 2016-09-08 15:38:34 +0200 by logger.rb/v1.2.7
stop:1473342560 #<Container name:borg-6251537638-1110 ID:cd5dd88ec65bea664a8a19f9c7656a612dbf0915cdb3d31168f3fe31f6dbec71 start:1473341980 generation_timestamps:{:nursery=>{:start=>1473341980, :stop=>1473342560}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.9995886522606383, :mean=>0.3043188871064392}, :memory=>{:max=>636719104, :mean=>632717609}}>
stop:1473342560 #<Container name:borg-6251537638-1128 ID:0f4e69a85ec741272da874bf6d4c0517690496a681bb3b674afbe1a120914e69 start:1473341987 generation_timestamps:{:nursery=>{:start=>1473341987, :stop=>1473342560}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.8882202200172562, :mean=>0.32884553075049744}, :memory=>{:max=>636719104, :mean=>632244682}}>
stop:1473342585 #<Container name:borg-6251537638-1189 ID:207b980118843c7adab88450cd2dea4921fddef0ccffbf447e0dfb22f4c93269 start:1473341977 generation_timestamps:{:nursery=>{:start=>1473341977, :stop=>1473342585}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.7413939601873536, :mean=>0.2851601884714553}, :memory=>{:max=>636719104, :mean=>632642139}}>
stop:1473342600 #<Container name:borg-6251537638-1578 ID:f5cc8ac5227f5b51fa68da343959130924f823910737cb6b3fda896a92814910 start:1473342008 generation_timestamps:{:nursery=>{:start=>1473342008, :stop=>1473342600}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.668066692893401, :mean=>0.2694519947132036}, :memory=>{:max=>636715008, :mean=>632852800}}>
stop:1473342615 #<Container name:borg-6251537638-1362 ID:1f68b6b6c7b7bd79da400682fae1293556ae51f4512bd8640dfb8b5f9b899b07 start:1473341987 generation_timestamps:{:nursery=>{:start=>1473341987, :stop=>1473342615}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.821398268135411, :mean=>0.2762863687234466}, :memory=>{:max=>636719104, :mean=>633058309}}>
stop:1473342630 #<Container name:borg-6251537638-1152 ID:7ea865d665a2b173f94e54a56607aa7cab2a21ec40942631b8e253dd49a3f72d start:1473341999 generation_timestamps:{:nursery=>{:start=>1473341999, :stop=>1473342630}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.8975414780487805, :mean=>0.27544858474631706}, :memory=>{:max=>636719104, :mean=>626416697}}>
stop:1473342659 #<Container name:borg-6251537638-1677 ID:e64d8be5e5a2ac067625dbedb9dc2c4c1efca87f2371e70ac0769b0bb9310d75 start:1473342012 generation_timestamps:{:nursery=>{:start=>1473342012, :stop=>1473342659}} generation_current:nursery cpu:0.19992 mem:0.63672 metrics:{:cpu=>{:max=>1.9931200331925165, :mean=>0.2776128047221988}, :memory=>{:max=>636719104, :mean=>632909403}}>
stop:1473342685 #<Container name:borg-6251640760-263 ID:b1e976dde44b026308b1d540e438fd4ae03f43f204432235be8bf09ec6bca54d start:1473341966 generation_timestamps:{:nursery=>{:start=>1473341966, :stop=>1473342685}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.4468736836236933, :mean=>0.16299811001995348}, :memory=>{:max=>267116544, :mean=>266054767}}>
stop:1473342700 #<Container name:borg-6251495621-97 ID:7a3c819955e6831b95e672170bf9287decd1ec9b79aee96eb82783a56b935a27 start:1473342004 generation_timestamps:{:nursery=>{:start=>1473342004, :stop=>1473342700}} generation_current:nursery cpu:0.25 mem:0.074584 metrics:{:cpu=>{:max=>1.1333202871125612, :mean=>0.3603944916332064}, :memory=>{:max=>74579968, :mean=>74308839}}>
stop:1473342700 #<Container name:borg-6251640760-1039 ID:e608d769ce5ed429d96e510a055f2076a34d9d43ef15f648c8906243d210023f start:1473342001 generation_timestamps:{:nursery=>{:start=>1473342001, :stop=>1473342700}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.6043005142857143, :mean=>0.2702493984641049}, :memory=>{:max=>267116544, :mean=>265878075}}>
stop:1473342720 #<Container name:borg-6251640760-1020 ID:0ef95c76a53f597170c495ca3ad8df6d00dc1c67e853f56a7eb772d675ffcd57 start:1473341997 generation_timestamps:{:nursery=>{:start=>1473341997, :stop=>1473342720}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.594683330259366, :mean=>0.22959891918682584}, :memory=>{:max=>267116544, :mean=>265907731}}>
