#time count_nursery count_young count_tenured
1473851890 0 0 0
1473851891 0 0 0
1473851892 0 0 0
1473851893 0 0 0
1473851894 0 0 0
1473851895 0 0 0
1473851896 0 0 0
1473851897 0 0 0
1473851898 0 0 0
1473851899 0 0 0
1473851900 0 0 0
1473851901 0 0 0
1473851902 0 0 0
1473851903 0 0 0
1473851904 0 0 0
1473851905 0 0 0
1473851906 0 0 0
1473851907 0 0 0
1473851908 0 0 0
1473851909 0 0 0
1473851910 0 0 0
1473851911 0 0 0
1473851912 0 0 0
1473851913 0 0 0
1473851914 0 0 0
1473851915 0 0 0
1473851916 0 0 0
1473851917 0 0 0
1473851918 0 0 0
1473851919 0 0 0
1473851920 0 0 0
1473851921 0 0 0
1473851922 0 0 0
1473851923 0 0 0
1473851924 0 0 0
1473851925 0 0 0
1473851926 0 0 0
1473851927 0 0 0
1473851928 0 0 0
1473851929 0 0 0
1473851930 0 0 0
1473851931 0 0 0
1473851932 0 0 0
1473851933 1 0 0
1473851934 1 0 0
1473851935 1 0 0
1473851936 1 0 0
1473851937 1 0 0
1473851938 1 0 0
1473851939 1 0 0
1473851940 2 0 0
1473851941 2 0 0
1473851942 2 0 0
1473851943 3 0 0
1473851944 3 0 0
1473851945 3 0 0
1473851946 4 0 0
1473851947 4 0 0
1473851948 4 0 0
1473851949 5 0 0
1473851950 5 0 0
1473851951 5 0 0
1473851952 5 0 0
1473851953 5 0 0
1473851954 5 0 0
1473851955 5 0 0
1473851956 5 0 0
1473851957 5 0 0
1473851958 5 0 0
1473851959 5 0 0
1473851960 5 0 0
1473851961 5 0 0
1473851962 5 0 0
1473851963 5 0 0
1473851964 5 0 0
1473851965 5 0 0
1473851966 5 0 0
1473851967 5 0 0
1473851968 5 0 0
1473851969 5 0 0
1473851970 5 0 0
1473851971 5 0 0
1473851972 5 0 0
1473851973 5 0 0
1473851974 5 0 0
1473851975 5 0 0
1473851976 5 0 0
1473851977 5 0 0
1473851978 5 0 0
1473851979 5 0 0
1473851980 5 0 0
1473851981 5 0 0
1473851982 5 0 0
1473851983 5 0 0
1473851984 5 0 0
1473851985 5 0 0
1473851986 5 0 0
1473851987 5 0 0
1473851988 5 0 0
1473851989 5 0 0
1473851990 5 0 0
1473851991 5 0 0
1473851992 5 0 0
1473851993 5 0 0
